"Location","nation","Country","Country_work","gender","what_participant_group","field_research","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Applied_Research_current","percent_Fundamental_Research_past","percent_Use_inspired_Research_past","percent_Applied_Research_past","total_research"
"Australia","Australia","Australia","Australia","Female","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","Medicine and Life Science",90,0,10,70,0,30,100
"Australia","Australia","Australia","Australia","Female","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","Medicine and Life Science",50,50,0,60,40,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",70,0,0,100,0,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",30,30,40,60,20,20,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Social Science / Humanities",100,0,0,90,0,10,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",90,10,0,100,0,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",30,70,0,10,90,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",20,50,30,10,50,40,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",20,0,80,0,0,100,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Interdisciplinary Science",10,40,50,20,40,40,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",0,60,40,60,30,10,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Engineering",10,60,30,20,80,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",50,0,50,90,0,10,100
"Australia","Australia","Australia","Australia","Male","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","Medicine and Life Science",20,70,10,50,40,10,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",10,60,40,30,60,10,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",60,40,0,80,10,10,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",20,80,0,40,60,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Engineering",50,0,50,70,0,20,90
"Australia","Australia","Australia","Australia","Female","Non-academic researcher conducting or managing research in industry or government with &gt;10 years of experience","Interdisciplinary Science",10,20,70,20,40,40,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",9.09090909090909,36.3636363636364,45.4545454545455,18.1818181818182,27.2727272727273,54.5454545454545,110
"Australia","Australia","Australia","Australia","Male","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","Natural Science",80,10,10,90,10,0,100
