"Location","Country","Country_work","gender","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation"
"Ontario","Canada","Canada","Male","Not at all important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably"
"British Columbia","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will stay the same","Will decrease considerably"
"Quebec","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase considerably","Will decrease considerably"
"Quebec","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will increase slightly"
"Quebec","Canada","Canada","Female","Not at all important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease considerably"
"Saskatchewan","Canada","Canada","Female","Not very important",NA,1,1,NA,"Will increase slightly","Will decrease slightly","Will decrease slightly","Will increase slightly"
"Quebec","Canada","Canada","Male","Very important",NA,1,1,NA,"Will decrease slightly","Will increase considerably","Will increase considerably","Will decrease considerably"
"Quebec","Canada","Canada","Female","Very important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will decrease considerably"
"Quebec","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will decrease considerably"
"Quebec","Canada","Canada","Male","Very important",NA,1,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease considerably"
"Quebec","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will increase slightly"
"Quebec","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"","","Canada","Female","Somewhat important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease considerably"
"Alberta","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will increase slightly","Will decrease slightly"
"Quebec","Canada","Canada","Male","Very important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will increase slightly"
"Ontario","Canada","Canada","Male","Not at all important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"New Brunswick","Canada","Canada","Female","Somewhat important",NA,1,NA,NA,"Will increase slightly","Can't comment","Can't comment","Will decrease slightly"
"Ontario","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will decrease considerably"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will decrease slightly"
"Ontario","Canada","Canada","Female","Can't comment",NA,1,NA,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Massachusetts","USA","Canada","Male","Very important",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will stay the same"
"Quebec","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease slightly","","Will decrease slightly","Will decrease considerably"
"Ontario","Canada","Canada","Female","Very important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will decrease considerably"
"Ontario","Canada","Canada","Male","Very important",1,NA,NA,NA,"Will increase considerably","Will increase slightly","Will decrease slightly","Will increase considerably"
"Ontario","Canada","Canada","Female","Not very important",NA,NA,NA,1,"Can't comment","Can't comment","Will decrease considerably","Will decrease considerably"
"Quebec","Canada","Canada","Male","Not very important",NA,NA,NA,1,"Can't comment","Can't comment","Will increase slightly","Will stay the same"
"Nova Scotia","Canada","Canada","Male","Somewhat important",NA,NA,NA,1,"Will stay the same","","","Will decrease slightly"
"New Brunswick","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will decrease slightly","Will increase slightly"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will stay the same"
"Nova Scotia","Canada","Canada","Male","Very important",NA,1,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease considerably"
"Nova Scotia","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will increase considerably","Will increase considerably","Can't comment"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Can't comment","Can't comment","Will stay the same"
"Nova Scotia","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will decrease considerably","Will stay the same","Will increase considerably","Will stay the same"
"Ontario","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly"
"Saskatchewan","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will increase slightly"
"Quebec","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Will increase slightly","","","Will decrease considerably"
"Quebec","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will decrease slightly","Can't comment"
"Poland","Poland","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will stay the same"
"Newfoundland and Labrador","Canada","Canada","Male","Not at all important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will increase slightly"
"Quebec","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will stay the same","","Can't comment"
"New Brunswick","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Nova Scotia","Canada","Canada","Male","Very important",NA,1,NA,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will decrease considerably"
"New Brunswick","Canada","Canada","Other","Not very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase considerably","Will decrease slightly"
"New Brunswick","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"Quebec","Canada","Canada","Male","Very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease slightly"
"Ontario","Canada","Canada","Male","Very important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"France","France","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will decrease slightly","Can't comment"
"Quebec","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease considerably"
"Quebec","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will stay the same","Will stay the same"
"Quebec","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","","Will increase slightly","Will decrease slightly"
"Quebec","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Can't comment","Will increase slightly","Will decrease considerably"
"Quebec","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase slightly","Will decrease considerably"
"Tanzania","Tanzania","Canada","Male","Very important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will increase considerably",""
"Nova Scotia","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease considerably"
"","","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"Quebec","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will stay the same"
"British Columbia","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Can't comment"
"Quebec","Canada","Canada","Male","Somewhat important",NA,1,NA,NA,"Will increase slightly","Will stay the same","Will increase slightly","Will increase slightly"
"British Columbia","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"Quebec","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will increase slightly","Can't comment","Will increase considerably","Will increase slightly"
"Quebec","Canada","Canada","Male","Very important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will decrease slightly"
"Quebec","Canada","Canada","Female","Very important",1,1,NA,NA,"Will increase slightly","Will stay the same","Will decrease slightly","Will increase slightly"
"Quebec","Canada","Canada","Male","Somewhat important",NA,1,NA,NA,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will stay the same","","","Will decrease considerably"
"British Columbia","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will decrease considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will decrease slightly"
"Quebec","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease slightly"
"France","France","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will decrease slightly","Will decrease slightly"
"New Brunswick","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will increase considerably","Will increase considerably","Will increase considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase considerably","Will decrease slightly"
"British Columbia","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will decrease considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","","","Will stay the same"
"Ontario","Canada","Canada","Male","Very important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will stay the same"
"Quebec","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase slightly","Will decrease considerably"
"Quebec","Canada","Canada","Male","Not at all important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will stay the same"
"Germany","Germany","Canada","Male","Not very important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will increase slightly"
"Quebec","Canada","Canada","Female","Somewhat important",NA,1,NA,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease slightly"
"Italy","Italy","Canada","Female","Not very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Quebec","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Can't comment","Will increase slightly","Will decrease slightly"
"Quebec","Canada","Canada","Male","Very important",NA,1,1,NA,"Will increase considerably","Will stay the same","Will decrease slightly","Will increase considerably"
"","","","Male","Somewhat important",NA,NA,NA,1,"Can't comment","","Can't comment","Can't comment"
"Quebec","Canada","Canada","Male","Very important",NA,NA,1,NA,"Can't comment","Can't comment","","Can't comment"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will increase considerably","Will decrease slightly"
"Nova Scotia","Canada","Canada","Male","Very important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,NA,NA,"Will decrease considerably","Will increase slightly","Will stay the same","Will decrease slightly"
"Newfoundland and Labrador","Canada","Canada","Male","Somewhat important",NA,1,NA,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease slightly"
"California","USA","Canada","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"Quebec","Canada","Canada","Male","Not at all important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will decrease slightly","Will stay the same"
"Saskatchewan","Canada","Canada","Male","Very important",1,1,1,NA,"Can't comment","Can't comment","Can't comment","Will increase considerably"
"Quebec","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will stay the same"
"Ontario","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will decrease considerably"
"Quebec","Canada","Canada","Male","Very important",NA,NA,NA,1,"Will stay the same","Can't comment","Can't comment","Will stay the same"
"Quebec","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will decrease considerably"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Can't comment","Can't comment","Will increase slightly"
"Ontario","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Austria","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will increase slightly","Will increase considerably"
"Quebec","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will increase considerably","Will stay the same"
"Quebec","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will increase slightly"
"Quebec","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"Quebec","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"Quebec","Canada","Canada","Male","Somewhat important",NA,NA,NA,1,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"Nova Scotia","Canada","Canada","Female","Very important",NA,1,1,NA,"Will increase considerably","Will stay the same","Will stay the same","Will increase considerably"
"North Carolina","USA","Canada","Male","Somewhat important",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Will decrease slightly"
"Ontario","Canada","Canada","Male","Very important",1,NA,1,NA,"Will stay the same","","Will increase slightly","Will increase considerably"
"New Jersey","USA","United States","Female","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease slightly"
"Ontario","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will stay the same"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will increase considerably","Will increase slightly","Will increase slightly"
"Nova Scotia","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will increase slightly","Will increase slightly"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Female","Somewhat important",NA,1,1,NA,"Will increase considerably","Can't comment","Will stay the same","Will decrease considerably"
"Quebec","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease considerably"
"Quebec","Canada","","","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly",""
"New Mexico","USA","Canada","Female","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"New Brunswick","Canada","Canada","Male","Not at all important",NA,NA,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will decrease considerably"
"Quebec","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Can't comment","Will stay the same","Will decrease slightly"
"Quebec","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will stay the same","Can't comment","Can't comment","Can't comment"
"","","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Can't comment"
"Ontario","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will stay the same","","Will stay the same","Will decrease slightly"
"Switzerland","Switzerland","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease considerably"
"Quebec","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably"
"Quebec","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will increase considerably","Can't comment"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will increase considerably","Will increase considerably","Will decrease considerably"
"Quebec","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will stay the same"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will stay the same","Can't comment","Will increase slightly","Will decrease slightly"
"Germany","Germany","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will increase slightly","Will stay the same"
"","","Canada","Female","Not very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Other","Very important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"Sweden","Sweden","Sweden","Female","Very important",NA,1,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably"
"Denmark","Denmark","Canada","Male","Not very important",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"France","France","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","","","Will decrease considerably"
"Quebec","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will stay the same","Can't comment","Will increase slightly","Will increase slightly"
"Quebec","Canada","Canada","Male","Very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease slightly"
"Quebec","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will increase slightly","Will decrease considerably"
"Quebec","Canada","Canada","Male","Very important",NA,1,NA,NA,"Will stay the same","Will increase considerably","Will increase slightly","Can't comment"
"New Brunswick","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will increase slightly","Will increase slightly"
"Nova Scotia","Canada","Canada","Female","Not at all important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Can't comment"
"Quebec","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will increase considerably","Will decrease considerably"
"New Brunswick","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease considerably"
"Ontario","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly"
"British Columbia","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase considerably","Will decrease considerably"
"Quebec","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Quebec","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Can't comment"
"New Brunswick","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease considerably"
"Nova Scotia","Canada","Canada","Female","Not very important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Can't comment"
"Quebec","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will decrease slightly","Will increase considerably","Will increase considerably","Will decrease considerably"
"Quebec","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will increase slightly"
"Nebraska","USA","United States","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Can't comment","Will decrease considerably"
"Quebec","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Can't comment","Will increase slightly","Will increase considerably"
"Quebec","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Can't comment","Will increase slightly"
"California","USA","United States","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease slightly","Will decrease considerably"
"Nova Scotia","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will decrease slightly"
"Manitoba","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease slightly"
"Quebec","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase considerably"
"Brazil","Brazil","Brazil","Male","Not very important",NA,1,NA,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease slightly"
"Quebec","Canada","Canada","Male","Somewhat important",NA,NA,NA,1,"Can't comment","Can't comment","Can't comment","Can't comment"
"Ontario","Canada","Canada","Female","Somewhat important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will increase slightly"
"Greece","Greece","Canada","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease considerably"
"Manitoba","Canada","Canada","Female","Somewhat important",NA,1,NA,NA,"Will increase slightly","Will stay the same","Will stay the same","Will increase slightly"
"Quebec","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will decrease considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Ontario","Canada","Canada","Male","Not at all important",NA,NA,NA,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly"
"Ontario","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"France","France","Canada","Male","Very important",1,1,1,NA,"Can't comment","Can't comment","Can't comment","Will stay the same"
"Alberta","Canada","Canada","Male","Somewhat important",NA,1,NA,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will stay the same"
"British Columbia","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease slightly"
"Quebec","Canada","Canada","Male","Very important",1,1,NA,NA,"Will decrease considerably","Will decrease considerably","Will decrease slightly","Will decrease considerably"
"Manitoba","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Can't comment","Will increase slightly","Will decrease slightly"
"Alberta","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will increase slightly"
"Ontario","Canada","Canada","Female","Somewhat important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"","","Canada","Female","Very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"","","Canada","Female","Not very important",NA,NA,1,NA,"Will increase considerably","Can't comment","Can't comment","Will increase slightly"
"Ontario","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will increase slightly","Will stay the same","Can't comment","Will increase slightly"
"Denmark","Denmark","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"United Kingdom","United Kingdom","United Kingdom","Female","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"Newfoundland and Labrador","Canada","Canada","Male","Somewhat important",NA,NA,NA,1,"Will decrease slightly","","","Can't comment"
"","","Canada","Male","Very important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will increase slightly"
"","","Canada","Male","Not very important",NA,1,1,NA,"Will decrease slightly","Will decrease considerably","Will decrease considerably","Will decrease slightly"
"Alberta","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will stay the same"
"Quebec","Canada","Canada","Male","Somewhat important",1,1,1,NA,"Will stay the same","Can't comment","Will increase slightly","Can't comment"
"Nova Scotia","Canada","Canada","Male","Very important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"Quebec","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Can't comment","Will stay the same","Will stay the same"
"Ontario","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase considerably","Will increase slightly","Will increase considerably","Will increase slightly"
"British Columbia","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will increase considerably","Will stay the same"
"Newfoundland and Labrador","Canada","Canada","Male","Very important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will stay the same"
"British Columbia","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will increase slightly"
"United Kingdom","United Kingdom","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will decrease considerably"
"","","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase considerably","Will decrease considerably"
"Quebec","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will increase slightly","","","Will increase considerably"
"Quebec","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will increase slightly","Will stay the same"
"","","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will decrease slightly","Will increase slightly"
"","","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Can't comment","Can't comment","Will increase slightly"
"British Columbia","Canada","Canada","Female","Somewhat important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Nova Scotia","Canada","Canada","Female","Very important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease considerably"
"Ontario","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will stay the same","","Will increase slightly","Can't comment"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will decrease slightly"
"British Columbia","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly"
"Germany","Germany","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will increase slightly","Will increase considerably"
"Cameroon","Cameroon","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase considerably"
"Saskatchewan","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably"
"","","Canada","Female","Not very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will decrease slightly","Will decrease considerably"
"Quebec","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Can't comment","Will increase slightly","Will stay the same"
"Ontario","Canada","Canada","Female","Not at all important",NA,NA,1,NA,"Will stay the same","Can't comment","Can't comment","Will increase considerably"
"Quebec","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"Netherlands","Netherlands","Canada","Male","Not at all important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will decrease slightly","Will increase slightly"
"Quebec","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will increase slightly","Will stay the same"
