"Location","Country","Country_work","gender","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation"
"Italy","Italy","Italy","Female","",NA,NA,1,1,"Will decrease considerably","Will stay the same","Will increase slightly","Will decrease considerably"
"Alberta","Canada","Canada","Female","",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Will decrease considerably"
"Netherlands","Netherlands","Netherlands","Male","",NA,1,1,NA,"Will increase slightly","Will stay the same","Will increase slightly","Will stay the same"
"Italy","Italy","Italy","Male","",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will increase considerably","Will decrease slightly"
"Spain","Spain","Spain","Female","",NA,NA,NA,1,"Will decrease considerably","Will stay the same","Will stay the same","Will decrease slightly"
"Switzerland","Switzerland","Italy","Male","",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will stay the same","Will decrease considerably"
"Finland","Finland","Spain","Male","",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase slightly","Will decrease considerably"
"Spain","Spain","Canada","Male","",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"Italy","Italy","Italy","Male","",NA,NA,NA,1,"Will decrease considerably","Can't comment","Can't comment","Will decrease slightly"
"United Kingdom","United Kingdom","Italy","Male","",NA,1,1,NA,"Will decrease slightly","Can't comment","Can't comment","Will decrease considerably"
"Massachusetts","USA","United States","Female","",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease considerably"
"India","India","India","Male","",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will increase considerably","Will decrease slightly"
"Netherlands","Netherlands","Netherlands","Male","",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Italy","Italy","Italy","Male","",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will increase slightly","Will increase considerably"
"Japan","Japan","","Male","",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Will increase considerably"
"Italy","Italy","Italy","Male","",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will stay the same","Will decrease considerably"
"France","France","France","Male","",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will stay the same","Will increase slightly"
"France","France","France","Female","",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will stay the same"
"","","Nigeria","Male","",1,NA,1,NA,"Will increase slightly","","Will increase slightly","Will stay the same"
"Netherlands","Netherlands","Netherlands","Male","",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly"
"Italy","Italy","Italy","Female","",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"Israel","Israel","Israel","Male","",NA,NA,NA,1,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"Israel","Israel","Israel","Female","",NA,NA,NA,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly"
"California","USA","United States","Male","",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will stay the same"
"Italy","Italy","Italy","Female","",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase slightly","Will decrease considerably"
"Egypt","Egypt","Egypt","Male","",NA,NA,1,NA,"Will decrease slightly","Will increase considerably","Will increase considerably","Will increase slightly"
"Italy","Italy","Italy","Female","",NA,1,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease slightly","Will decrease considerably"
"Israel","Israel","Israel","Female","",NA,NA,NA,1,"Will decrease slightly","Will stay the same","Will increase slightly",""
"Italy","Italy","Italy","Female","",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will stay the same","Will decrease slightly"
"United Kingdom","United Kingdom","Canada","Female","",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will decrease slightly"
