"","Country","gender","Location","partnership_outside","partnership_outside_before"
"975","Germany","Male","Germany","Strong partnership","Some partnership"
"977","Spain","Male","Spain","Strong partnership","Some partnership"
"979","Germany","Male","Germany","Strong partnership","Some partnership"
"980","","Female","","Some partnership","No partnership"
"983","Canada","Male","Nova Scotia","Strong partnership","Some partnership"
"984","USA","Male","Maine","Some partnership","Some partnership"
"987","Canada","Female","Ontario","Some partnership","Some partnership"
"992","Canada","Male","Ontario","Some partnership","Strong partnership"
"994","Canada","Female","Manitoba","Strong partnership","No partnership"
"999","Canada","Female","Nova Scotia","Some partnership","Some partnership"
"1001","Canada","Female","Quebec","Some partnership","Some partnership"
"1003","Canada","Male","Quebec","Some partnership","Exclusive partnership"
"1005","Canada","Female","Quebec","Some partnership","Some partnership"
"1006","Canada","Male","Ontario","Some partnership","No partnership"
"1008","","Male","","No partnership","Some partnership"
"1009","Spain","Male","Spain","Some partnership","Strong partnership"
"1012","Canada","Male","Ontario","Strong partnership","Exclusive partnership"
"1013","Canada","Male","New Brunswick","Some partnership","Some partnership"
"1014","Canada","Male","New Brunswick","No partnership","No partnership"
"1016","Canada","Female","Nunavut","Strong partnership","No partnership"
"1018","Canada","Male","Quebec","Some partnership","Some partnership"
"1020","Canada","Male","Nova Scotia","Strong partnership","No partnership"
"1024","Canada","Male","Ontario","Some partnership","No partnership"
"1026","Canada","Male","Ontario","No partnership","Some partnership"
"1027","Canada","Male","New Brunswick","Strong partnership","Some partnership"
"1029","Canada","Male","Ontario","No partnership","No partnership"
"1030","Canada","Male","Ontario","Some partnership","No partnership"
"1031","Canada","Female","Quebec","No partnership","Some partnership"
"1032","France","Male","France","Some partnership","No partnership"
"1035","Canada","Male","Quebec","Some partnership","No partnership"
"1039","Canada","Female","Quebec","Some partnership","Strong partnership"
"1044","Canada","Male","British Columbia","Some partnership","No partnership"
"1046","Canada","Male","Quebec","Some partnership","Some partnership"
"1048","Canada","Female","Saskatchewan","Some partnership","No partnership"
"1050","Canada","Female","Quebec","Some partnership","Strong partnership"
"1051","Canada","Female","Quebec","Some partnership","No partnership"
"1057","Canada","Male","Quebec","Some partnership","Some partnership"
"1060","Canada","Male","Ontario","Strong partnership","Some partnership"
"1062","Canada","Female","Ontario","Some partnership","No partnership"
"1063","USA","Male","Massachusetts","Strong partnership","No partnership"
"1064","Canada","Male","Ontario","Strong partnership","Strong partnership"
"1068","Canada","Male","Ontario","No partnership","Some partnership"
"1076","Canada","Male","Ontario","Some partnership","No partnership"
"1077","Canada","Male","Nova Scotia","No partnership","Some partnership"
"1079","Canada","Male","Saskatchewan","Strong partnership","No partnership"
"1080","Canada","Female","Quebec","Some partnership","No partnership"
"1082","Poland","Male","Poland","Strong partnership","No partnership"
"1084","Canada","Male","Quebec","Strong partnership","Some partnership"
"1085","Canada","Male","New Brunswick","Some partnership","No partnership"
"1086","Canada","Male","Nova Scotia","Some partnership","Some partnership"
"1087","Canada","Other","New Brunswick","Some partnership","No partnership"
"1089","Canada","Male","Quebec","No partnership","Some partnership"
"1096","Canada","Male","Quebec","Some partnership","No partnership"
"1097","Tanzania","Male","Tanzania","Some partnership","Some partnership"
"1098","Canada","Male","Nova Scotia","Some partnership","No partnership"
"1100","Canada","Male","Quebec","Strong partnership","Some partnership"
"1102","Canada","Male","Quebec","Strong partnership","Some partnership"
"1106","Canada","Female","Quebec","Some partnership","Some partnership"
"1108","Canada","Male","Ontario","Some partnership","No partnership"
"1116","Canada","Male","Ontario","Some partnership","No partnership"
"1117","Canada","Male","Ontario","Strong partnership","Some partnership"
"1118","Canada","Male","Quebec","Some partnership","No partnership"
"1120","Germany","Male","Germany","Strong partnership","Some partnership"
"1122","Italy","Female","Italy","Strong partnership","Some partnership"
