"Location","nation","id","Country","Country_work","gender","what_participant_group","field_research","total_research","percent_Applied_Research_current","percent_Applied_Research_past","percent_Fundamental_Research_past","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Use_inspired_Research_past","changed","majority_current","majority_past","curr_past.app","curr_past.use","curr_past.fund","app_mean","app_sd","use_mean","use_sd","fund_mean","fund_sd"
"Saskatchewan","Canada",465,"Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,0,0,90,70,30,10,"Yes","fund.current","fund.past",0,20,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Alberta","Canada",469,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,30,0,70,30,40,30,"Yes","fund.current","fund.past",30,10,-40,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"British Columbia","Canada",475,"Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,30,10,90,60,0,0,"Yes","fund.current","fund.past",20,0,-30,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Alberta","Canada",477,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,40,40,60,40,20,0,"Yes","fund.current","fund.past",0,20,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Newfoundland and Labrador","Canada",478,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,20,50,50,80,0,0,"Yes","fund.current","fund.app.half.past",-30,0,30,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"British Columbia","Canada",480,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",110,36.3636363636364,27.2727272727273,36.3636363636364,18.1818181818182,36.3636363636364,36.3636363636364,"Yes","fund.current","fund.past",9.0909090909091,0,-18.1818181818182,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"France","Canada",481,"France","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,0,0,70,70,30,30,"Yes","fund.current","fund.past",0,0,0,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"British Columbia","Canada",485,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,30,0,50,30,30,50,"Yes","fund.current","fund.app.half.past",30,-20,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",488,"Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,0,0,70,90,10,30,"Yes","fund.current","fund.past",0,-20,20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",492,"Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",100,10,10,70,50,40,20,"Yes","fund.current","fund.past",0,20,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Nova Scotia","Canada",494,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,0,20,60,80,20,20,"Yes","fund.current","fund.past",-20,0,20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",495,"Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,30,0,100,70,0,0,"Yes","fund.current","fund.past",30,0,-30,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Quebec","Canada",496,"Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,50,90,10,50,0,0,"Yes","fund.app.half.current","app.past",-40,0,40,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Newfoundland and Labrador","Canada",497,"Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",100,20,0,100,80,0,0,"Yes","fund.current","fund.past",20,0,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"","Canada",507,"","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,40,10,70,40,30,20,"Yes","fund.current","fund.past",30,10,-30,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Quebec","Canada",514,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,30,30,70,70,0,0,"Yes","fund.current","fund.past",0,0,0,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",521,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,80,50,50,20,0,0,"Yes","app.current","fund.app.half.past",30,0,-30,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Alberta","Canada",522,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,40,10,90,60,0,0,"Yes","fund.current","fund.past",30,0,-30,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
