"Country","Country_work","gender","Location","what_participant_group","field_research","type.grant","number"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","0"
"India","","","India","","","external_pi_grant_11_15_applied","0"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","0"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","0"
"Indonesia","","","Indonesia","","","external_pi_grant_11_15_applied","0"
"Uruguay","","","Uruguay","","","external_pi_grant_11_15_applied","0"
"Uruguay","","","Uruguay","","","external_pi_grant_11_15_applied","0"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","0"
"India","","","India","","","external_pi_grant_11_15_applied","0"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","0"
"Indonesia","","","Indonesia","","","external_pi_grant_11_15_applied","0"
"Indonesia","","","Indonesia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","4-6"
"","","","","","","external_pi_grant_11_15_applied","0"
"Japan","","","Japan","","","external_pi_grant_11_15_applied","0"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","0"
"Chile","","","Chile","","","external_pi_grant_11_15_applied","0"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","1-3"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","1-3"
"India","","","India","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_applied","0"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","0"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","0"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","0"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","1-3"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","1-3"
"","","","","","","external_pi_grant_11_15_applied","0"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","0"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","0"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","4-6"
"Uruguay","","","Uruguay","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_11_15_applied","1-3"
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_applied","1-3"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","0"
"Brazil","","","Brazil","","","external_pi_grant_11_15_applied","0"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","0"
"","","","","","","external_pi_grant_11_15_applied","0"
"South Africa","","","South Africa","","","external_pi_grant_11_15_applied","0"
"India","","","India","","","external_pi_grant_11_15_applied","0"
"USA","","","New York","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","external_pi_grant_11_15_applied","13-15"
"India","","","India","","","external_pi_grant_11_15_applied","0"
"Romania","","","Romania","","","external_pi_grant_11_15_applied","0"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","0"
"Nigeria","","","Nigeria","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","0"
"India","","","India","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_applied","1-3"
"India","","","India","","","external_pi_grant_11_15_applied","0"
"Uruguay","","","Uruguay","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","0"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","0"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","0"
"Latvia","","","Latvia","","","external_pi_grant_11_15_applied","0"
"Albania","","","Albania","","","external_pi_grant_11_15_applied","0"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","1-3"
"Uruguay","","","Uruguay","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","0"
"Iceland","","","Iceland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","0"
"New Zealand","","","New Zealand","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_11_15_applied","0"
"New Zealand","","","New Zealand","","","external_pi_grant_11_15_applied","0"
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","0"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","0"
"India","","","India","","","external_pi_grant_11_15_applied","0"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","0"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","0"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","0"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","0"
"Malta","","","Malta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","0"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","1-3"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","0"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","0"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","0"
"France","","","France","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_11_15_applied","0"
"Malta","","","Malta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","0"
"Malta","","","Malta","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","1-3"
"Romania","","","Romania","","","external_pi_grant_11_15_applied","0"
"India","","","India","","","external_pi_grant_11_15_applied","0"
"India","","","India","","","external_pi_grant_11_15_applied","0"
"India","","","India","","","external_pi_grant_11_15_applied","0"
"Australia","","","Australia","","","external_pi_grant_11_15_applied","0"
"New Zealand","","","New Zealand","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_applied","0"
"Morocco","","","Morocco","","","external_pi_grant_11_15_applied","0"
"Australia","","","Australia","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_applied","4-6"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","1-3"
"India","","","India","","","external_pi_grant_11_15_applied","0"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","1-3"
"India","","","India","","","external_pi_grant_11_15_applied","0"
"Malta","","","Malta","","","external_pi_grant_11_15_applied","0"
"India","","","India","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_applied","0"
"","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","external_pi_grant_6_10_fundamental","0"
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","external_pi_grant_6_10_fundamental","0"
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_6_10_fundamental","0"
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_6_10_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_6_10_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_6_10_fundamental","0"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Canada","Bosnia and Herzegovina","Female","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science","external_pi_grant_6_10_fundamental","1-3"
"Canada","Brazil","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","external_pi_grant_6_10_fundamental","13-15"
"Canada","Canada","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","external_pi_grant_6_10_fundamental","16+"
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","external_pi_grant_6_10_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_6_10_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_6_10_fundamental","0"
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Medicine and Life Science","external_pi_grant_6_10_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_6_10_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_6_10_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_6_10_fundamental","0"
"Oman","","","Oman","","","external_pi_grant_6_10_fundamental","0"
"Tunisia","","","Tunisia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","10-12"
"Germany","","","Germany","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","1-3"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","1-3"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Jordan","","","Jordan","","","external_pi_grant_6_10_fundamental","0"
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","4-6"
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","1-3"
"","","","","","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_6_10_fundamental","0"
"","","","","","","external_pi_grant_6_10_fundamental","0"
"Sweden","","","Sweden","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","external_pi_grant_6_10_fundamental","1-3"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Austria","","","Austria","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","1-3"
"Switzerland","","","Switzerland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","external_pi_grant_6_10_fundamental","4-6"
"Italy","","","Italy","","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Belgium","","","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Cyprus","","","Cyprus","","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Belgium","","","Belgium","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Germany","","","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","external_pi_grant_6_10_fundamental","1-3"
"Austria","","","Austria","","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","1-3"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"France","","","France","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"USA","","","Washington","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","","","external_pi_grant_6_10_fundamental","0"
"Cyprus","","","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","1-3"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","1-3"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"United Kingdom","","","United Kingdom","","","external_pi_grant_6_10_fundamental","0"
"Greece","","","Greece","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","","","external_pi_grant_6_10_fundamental","0"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Switzerland","","","Switzerland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Germany","","","Germany","","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"","","","","","","external_pi_grant_6_10_fundamental","0"
"Germany","","","Germany","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","4-6"
"Belgium","","","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","1-3"
"Romania","","","Romania","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Greece","","","Greece","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","1-3"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","4-6"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Belgium","","","Belgium","","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","4-6"
"Switzerland","","","Switzerland","","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","1-3"
"Netherlands","","","Netherlands","","","external_pi_grant_6_10_fundamental","0"
"Poland","","","Poland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","1-3"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","","","external_pi_grant_6_10_fundamental","0"
"Canada","","","Quebec","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","","","external_pi_grant_6_10_fundamental","0"
"France","","","France","","","external_pi_grant_6_10_fundamental","0"
"Spain","","","Spain","","","external_pi_grant_6_10_fundamental","0"
"Romania","","","Romania","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Greece","","","Greece","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","16+"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"USA","","","Massachusetts","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Philippines","","","Philippines","","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","","","external_pi_grant_6_10_fundamental","0"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Italy","","","Italy","","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"South Africa","","","South Africa","","","external_pi_grant_6_10_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_6_10_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_6_10_fundamental","0"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","1-3"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","1-3"
"Australia","","","Australia","","","external_pi_grant_6_10_fundamental","0"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Greece","","","Greece","","","external_pi_grant_6_10_fundamental","0"
"Mississippi","","","Mississippi","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"USA","","","New York","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","4-6"
"Singapore","","","Singapore","","","external_pi_grant_6_10_fundamental","0"
"United Kingdom","","","United Kingdom","","","external_pi_grant_6_10_fundamental","0"
"France","","","France","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","","","external_pi_grant_6_10_fundamental","0"
"USA","","","Utah","","","external_pi_grant_6_10_fundamental","0"
"New Zealand","","","New Zealand","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Netherlands","","","Netherlands","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_6_10_fundamental","0"
"USA","","","Alabama","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","1-3"
"Australia","","","Australia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Australia","","","Australia","","","external_pi_grant_6_10_fundamental","0"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"","","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Spain","","","Spain","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","external_pi_grant_6_10_fundamental","0"
"","","","","","","external_pi_grant_6_10_fundamental","0"
"Canada","","","Ontario","","","external_pi_grant_6_10_fundamental","0"
"Canada","","","Nova Scotia","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","1-3"
"Germany","","","Germany","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Germany","","","Germany","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Poland","","","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Poland","","","Poland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Poland","","","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"France","","","France","","","external_pi_grant_6_10_fundamental","0"
"France","","","France","","","external_pi_grant_6_10_fundamental","0"
"France","","","France","","","external_pi_grant_6_10_fundamental","0"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_6_10_fundamental","0"
"Serbia","","","Serbia","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Serbia","","","Serbia","","","external_pi_grant_6_10_fundamental","0"
"Portugal","","","Portugal","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","1-3"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"France","","","France","","","external_pi_grant_6_10_fundamental","0"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_6_10_fundamental","0"
